step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,13club1896cover,0.5042581602104994,0.5910342238661346,1.4116357504215853,,Meet the Club,"Club membership attracted New York businessmen including lawyers and doctors, but also a variety of local judges and state officials.  

These middle- and upper-class White men were united in their endeavor to undermine public belief in superstition. The Thirteen Club sought “to break down, by force of example,” the superstition that if 13 dined at a table, one would die within the following year. Their strategy largely consisted of showing that despite their efforts to tempt fate by ritually inviting bad luck (or death itself, as in the case of sitting 13 to a dining table)—they remained unharmed.

By satirizing superstitious acts and signs, the Club sought to render superstitious beliefs ridiculous. However, they also used humor to secure their own claims to masculine rationalism.
",,,,,,,,
2,13clubnotablenewyorkersmcadam,0.5,0.5,1,,Judge David McAdam,"While one might expect to find fringe eccentrics in the Thirteen Club given their playful experiments, but the member lists tell a different story. 

Meet Judge David McAdam: He served as the Club's Chief Ruler from 1885-1889, during which time he worked as a respected New York City Judge. In 1890, he stepped away from his role in Club leadership due to his election to the Supreme Court of New York. Far from an anomaly, McAdam numbers among several judges and local politicians who participated in the Thirteen Club. Members felt strongly that good judgement, and therefore good governance, relied on masculine reasoning free of superstitious beliefs.  

Like many upper-class urban White men of this period, McAdam belonged to several gentlemen's Clubs. Men like McAdam affirmed their wealth through this kind of leisure spending--each Club would have had its own membership fee--but also developed their professional and social networks through club life. ",,Learn more,blank_template-honorary-members.md,,,,,
3,13club1891cover,0.498255209743303,0.46952285482777606,2.2612499999999995,,The war on superstition,"Why were Club members so concerned by the (alleged) prevalence of superstitious beliefs among the public? 

Members regarded superstition as a threat to masculine reason and bravery, and thus a threat to the Republican system of governance itself. How could voters be trusted to make 'good' choices if they were liable--in the Club's view--to allow superstition rather than reason to sway them? Consequently, the Club's ""war"" on superstition was a battle for the health of the republic itself. 

Rationalism--or lack thereof--lay at the heart of many of the Clubs jokes at the expense of others. However, it also formed a key component of how they imagined *themselves* composing a distinct class of educated men uniquely capable of both laughter and self-governance. Humor formed a key component of the ways in which these men imagined both themselves and others. ",,Learn more,blank_template-the-threat-to.md,,,,,
4,13clubwashingtontrip1907cartoon7,0.5,0.5,0.9999999999999999,,Battlefields for beliefs,"The Club considered themselves at war with superstitious beliefs, and those who held them. But who did they consider particularly superstitious?

Club humor regularly maligned working-class men, Black men, and women as particularly vulnerable or prone to superstitious beliefs. Notably, these were all demographics whose voting rights were recently acquired (working-class white men), under immense debate and increasingly restrictive legislation (Black men), or non-existent (women). 

The following stories explore these case studies in greater detail. Return to the home page to learn more. ",,Learn more,blank_template-artists-versus-superstition.md,,,,,
