order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,blank_template,1. Meet the Thirteen Club,A group of eccentrics? Not quite.,,yes,
1,unpacking-the-iconography,2. Dining with the Club,Morituri te salutamus,,yes,
2,humor-as-weapon-tigq,3. Humor as weapon,"Humor and the ""war"" on superstition. ",,yes,
3,jim-crow-and-rvqw,4. Jim Crow and superstition,The racial politics of superstition,,yes,
4,luck-is-for-td6n,"5. ""The prevalence of superstition in the female mind""",The perils of women's suffrage,,yes,
