step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,13clubtimept1,0.5,0.5,1,,Humor and citizenship,"The Club emerged just as Jim Crow was taking a firm grip of the country in the wake of Reconstruction. Rising immigration and increasing pressure from the women's suffrage movement further shaped the landscape in which these men criticized these demographics for their alleged predisposition to superstitious beliefs. 

Club members imagined intellectualism--the key to humor in their view--as the exclusive province of White manhood. This logic had a pointed implication. The capacity for humor was not a universal human trait but a racial and gendered one. For the Club, humor served as one among several indicators of civic fitness.",,Learn more,jim-crow-and-rvqw-locating-the-club.md,,,,,
2,13club1907cartoon10,0.5,0.5,0.67,,Freedmen and superstition,"The Club mobilized and circulated humor in their effort to discredit superstitions, but more importantly, to discredit the people who they alleged *believed* in superstitions. By generating a racial and gendered affective economy in which humor was exclusive to White men, and superstitious people were both the Other and the object of ridicule, the Club crafted an argument for who could be trusted with the independent reasoning needed for self-governance. 

Racism was hardly invented by the Thirteen Club. However, Club humor traded on a specific aspect of the well-known 'Sambo' character which occupied American pop culture during this period. Rather than draw upon the exaggerated smiles and carefree versions of the 'Sambo' archetype, the Club repeatedly drew upon the fearful and child-like versions of this racist caricature.",,Learn more,jim-crow-and-rvqw-unpacking-the-cartoon.md,,,,,
3,13clubjimcrowcartoon19072,0.4989006587727193,0.49405128994514225,0.9,,The politics of happiness,"Where other depictions of Sambo emphasized a happy-go-lucky nature, the Club repeatedly invoked an archetype which depicted him as prone to superstition and fear. The Club’s rhetoric, rituals, and imagery correlated racial others not as objects to fear, but as people vulnerable to fear. 

Influential Club member Judge McAdam argued that 'freeing' the mind of superstition was “necessary to the happiness of independent and intelligent manhood.” Superstitious people, in contrast, were ""slaves"" to irrational fears. The rhetoric of slavery was hardly incidental. Club humor introduced emotions to an ongoing negotiation about the needed qualities for good citizenship. “Cowardice and superstition are so closely allied that all hate to be called superstitious,” argued another Club speech. By sticking superstitious fear to black bodies through humor, they invoked larger conversation about the ability of independent men to navigate the demands of American manhood. ",,Learn more,jim-crow-and-rvqw-step3-layer1.md,,,,,
4,13clubjimcrow1908,0.5030117497653643,0.18113569042854824,2.25,,Is racism a form of superstition?,"In 1908, the Club explored the provocative  question, “Is Race Prejudice a Form of Superstition?” at their February dinner. While lone representatives from Jewish, Japanese, Irish, and Italian communities were invited, the Jewish speaker—Dr. Rev. H. Pereira Mendes—observed wryly that Black and Chinese men were notably excluded. “If race prejudice is a form of superstition, then you members seem to be superstitious,” he told the gathering.

Dr. Rev. H. Pereira Mendes' accolades also point to another notable bias in the selective invitations extended to racial others for this dinner: he was both a reverend and a scholar. Although Club men internally decried the prevalence of superstition among working class immigrant communities, they made no effort to pursue outreach or public education to address their concerns.",,Learn more,jim-crow-and-rvqw-george-w-walkers.md,,,,,
