step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,13club1891cover,0.5000000000000007,0.5000000000000001,1,,the Club's sense of humor,"The Thirteen Club wielded humor as a calculated instrument. They deployed satire and absurdist spectacle to undermine public belief in superstition. Where other men's clubs of the period gained reputations for illicit secrets and clandestine rituals, the Thirteen Club openly courted publicity. 

How and in what ways did the Club deploy humor not simply to reform public beliefs, but also as an arena of identity formation? To what extent did members locate masculinity, scientific rationalism, and humour as complementary forces? In short; how did humor work in the Club, and *for* the Club?",,,,,,,,
2,13clubwashingtontrip1907cartoon7,0.5,0.5,1,,Emotions in history,"In _The Cultural Politics of Emotion_, Sara Ahmed advances a theory of emotions that departs from social constructionist historiography. Where other scholars argue for emotions as culturally constructed and policed by norms, Ahmed instead argues for circulation. 
For Ahmed, emotions are not individualised or internal, but forces that circulate between bodies, texts, signs, objects, or institutions, accumulating value and meaning as they move. Ahmed calls this circulation an _affective economy_. Emotions circulate through discourse, accumulate intensity through repetition, and produce effects which shape identities, coalitions, and exclusions. She further proposes “stickiness” wherein emotions become associated and ‘stick’ to signs through repetition—physical proximity or discursive repetition). Stickiness binds certain figures (the superstitious, the modern man, the nation, etc.) to particular affects, a process which invites us to see emotions as productive rather than reflective of constructed norms. 

The Thirteen Club circulated humor in multiple forms: rhetorical, visual, and physical. Ahmed's attention to emotion as a contributor to identity formation can also help us make sense of the ways in which the Thirteen Club's humor imagined who was and was not vulnerable to the alleged perils of superstition. Stickiness is also a useful framework for making sense of Club rituals and practices--by definition, repetitive exercises. ",,Learn more,humor-as-weapon-tigq-how-have-historians.md,,,,,
3,13clubcartoon19073,0.5,0.5,1.0000000000000002,,How does humor work?,"Instead of asking only how masculinity was discursively constructed against feminized or racialised others, Ahmed's framework presses us to examine how affective economies actively contributed to those distinctions. Her case studies demonstrate that emotions operate differently across social positions. For example, she explores how emotions like fear or disgust are not applied equally to all bodies, but instead 'stick' to certain bodies in ways that reinforce or even create power hierarchies. The Thirteen Club presents an opportunity to interrogate how and in what ways humor informs similar formations of identity and power. 

Applying her theory to the Club can help us make sense of how and in what ways jokes about superstitious belief accrued stickiness and meaning, both for those sharing in the laughter and for those who were the *object* of the Club's laughter. ",,,,,,,,
4,,,,,,Humor and manly reason,"Far from regarding humor and rationalism as opposites, these men regarded humor and satire as natural companions to masculine reason, or even *exclusive* to masculine reason. 

Freeing one’s mind of superstition, according to prominent early Club member Judge McAdam, was “necessary to the happiness of independent and intelligent manhood.” By contrast, superstitious folks were allegedly ""slaves"" to irrationality, which, according to the Club, could only end in disaster and unhappiness. The Club mocked superstitious men as gloomy cowards, humorously observing that: “Such a man may be safely avoided. His favorite music is the ""Dead March.""”  

Scholarly writings on the nature of humor from the same time period reflect the Club’s assertions that only rational men could exercise humor. A 1898 article in the famed philosophical journal _The Monist_ posited that laughter “is limited to the realm of rational mentality” because the “comical does not tickle the diaphragm but the intellect.”",,,,,,,,
5,13clubreport5crawfordpoem,0.49448623971193423,0.48922576640759946,1,,Laughter is for the (educated) boys,"Club members often celebrated the power of humor in their ""war"" on superstition, and articulated a relationship between male rationalism and humor in their speeches. A speaker in 1887 invited witty responses from his fellow Club members, calling for ""the keen rapier-thrust of your sarcasm, or the corrosive effect of the most potent weapon in your armory--ridicule."" Replies crafted from ""invective, sarcasm or ridicule, will be of infinite service to clear away the mist of superstition and its resulting prejudice,"" opined the speaker. 

Superstition, the Club contended on multiple occasions, was tantamount to lunacy—especially when it led a man to lose money. Members asserted that, “thirteen dollars is worth more than twelve dollars, and that no sane man will prefer the twelve to the thirteen.” In contrast, the Club regarded itself as a vanguard of rationalism and business savvy, or in McAdam’s words: “business men of character who act openly according to their judgment.” Superstitious fears, according to the Club made “life a burden” and worse, “business prosperity an impossibility.” Without the power of rational judgement, men were destined for financial disaster. 

Club rhetoric often imagined working class men as the unreasonable sort who would allegedly refuse to labor in relation to the number 13 or some other superstitious belief. Click 'Learn more' to explore the poem commissioned by the Club from famed poet of the American West, Captain Jack Crawford. ",,explore the poem,humor-as-weapon-tigq-grappling-with-superstition.md,,,,,
