step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,13club1883cover1,0.4898829135388522,0.2626212848333762,1.3893119999999997,,Who was invited?,"**The Members**: Thirteen men in evening dress appear at the dining table. The men did indeed dine in formal attire, a detail which often added hilarity through the sharp contrast to their silly antics. 

The Club often hung a ladder above the entryway to the dining room so that members could prove their disbelief in that particular superstition, and even ritually shattered mirrors at their events. 

_The New York Times_ often capitalized on the spectacle of upstanding men in evening dress engaging in such antics. When the entryway ladder accidentally fell and hit the Club secretary in the face in 1907, the _Times_ dryly observed that there were ""hard knocks for all superstitions"" that evening. The meal, they reported, was delayed by ""thirteen minutes"" so that the injuries inflicted by a ladder--sustained in defiance of the superstition against ladders--might be tended to. 

**The Grim Reaper**: This playful cameo from Death himself is typical in Club materials. They often featured a grinning grim reaper or a skeleton joining in Club festivities on the covers of their reports. This choice points to the premise of their experiments: daring superstitions to kill them. ",,Learn more,unpacking-the-iconography-playing-with-death.md,,,,,
2,13club1883cover1,0.417232956095505,0.20924143100948578,2.9164965986394558,,"A toast, sir!","**The Drinks**: You'll also notice that they're drinking alcohol! Members set themselves apart from the growing influence of the women's temperance movement by including alcohol in their dinners. 

Dinners usually included thirteen toasts, most of which were humorous. For example, in 1883, they gave a toast to Ladies, calling them ""Always superstitious and always dear."" By ironically raising an alcoholic toast to women--a demographic they imagined as both naturally more vulnerable to superstition and likely allies of the temperance movement--the Club affirmed their claims to rationalism and manhood. 

Other toasts included rousing manly cheers, such as  inviting members ""To die like brave men,"" a tongue in cheek reference to their experimental tempting of fate and a call to action all at once. ",,,,,,,,
3,13club1906simplemenu,0.5280114263542606,0.5848435067434927,1.005,,What's for dinner?,"**Thirteen of...everything**: The door Death enters through features the number thirteen in roman numerals. The Club seized on every opportunity to invoke the number thirteen, and through that repetition render it absurd rather than menacing. 

Their menus usually featured 13 courses, and 13 alcoholic options to choose from. At other dinners, the courses themselves were composed of 13s  -- ""thirteen littleneck clams on the half shell, thirteen radishes, thirteen olives, thirteen tablespoonfuls of clam consommé en tasse,"" and so on. 

However, the number play was not restricted to dinners. Becoming a member cost $1.13 and fees thereafter consisted of 13¢. They held their dinners on the 13th of the month (also the deadline for payment of member dues), and began their dinners at 13 minutes after the hour. ",,Learn more,unpacking-the-iconography-simplified-dining.md,,,,,
4,13club1883cover1,0.489097854333252,0.8905967615678928,2.89679054054054,,Morituri te salutamus,"**The Motto**: The Club translated their Latin motto, ""Morituri te salutamus,"" to ""we who are about to die salute you."" This irreverent salvo is in keeping with their ironic sense of humor, seen above in their toasts. Choosing a latin motto further cemented their claims to higher education, as opposed to the allegedly unlearned people who believed in superstitions.

**The imagery**: The owl in Western culture historically symbolizes wisdom and intelligence--but also carries associations with the occult!  Later versions of their Club symbol would feature ladders in a nod to the superstition against walking underneath ladders. 

Other reports would go on to feature other popular superstitions or death iconography in the cover artwork, such as ladders, coffins, grave stones, bones, or open umbrellas. ",,,,,,,,
